"< 자 료 >
1. 2015년과 2016년 제1기의 공급가액은 다음과 같다.
   (단위: 원)구 분과세사업면세사업2015년 제1기280,000,00070,000,0002015년 제2기312,000,00088,000,0002016.1.1. ∼ 2016.3.31.150,000,00050,000,0002016.4.1. ∼ 2016.6.30.200,000,000100,000,000
  
2. 실지 귀속을 확인할 수 없는 공통매입세액의 내역은 다음과 같다. 
   (단위: 원)구 분2016.1.1.∼ 3.31.2016.4.1.∼ 6.30.공통매입세액10,000,000*115,000,000*2
*1 접대비 관련 매입세액 2,000,000원 포함
*2 2016년 4월 10일에 취득하여 과세사업과 면세사업에 함께 사용하다가 2016년 6월 20일에 다시 매각한 기계장치에 대한 매입세액 3,000,000원 포함  
3. 과세사업과 면세사업에 함께 사용하기 위하여 신축하던 냉동창고를 2016년 6월에 완공하였으며, 관련 매입세액의 내역은 다음과 같다. 
① 2015년 제1기: 10,000,000원
② 2015년 제2기: 30,000,000원
③ 2016년 제1기: 40,000,000원
(예정신고기간분 25,000,000원 포함)  
4. 과세사업과 면세사업에 함께 사용하기 위하여 2014년 제2기에 트럭을 취득하였으며, 관련 공통매입세액(4,000,000원)을 예정공급가액비율(면세사업의 예정공급가액 비율은 25%임)로 안분하였다. 과세 및 면세공급가액이 확정된 2015년 제1기에 트럭 관련 공통매입세액을 정산하였으며, 이후 납부·환급세액을 재계산하고 있다. 
"
