"(1) 장부상 매출액은 15,000,000,000원으로 이 중 특수관계인에 대한 매출액은 8,000,000,000원이며, 일반매출액은 7,000,000,000원이다. 매출액과 관련된 내용은 다음과 같다.
  ①  일반매출에 대한 매출할인 50,000,000원이 매출액에서 차감되어 있다.
  ②  일반매출에「부가가치세법」상 간주공급에 해당하는 금액 300,000,000원이 포함되어 있다.
(2)  손익계산서상 판매비와관리비 중 접대비로 비용처리한 금액은 50,000,000원으로 다음의 금액이 포함되어 있다.
  ①  전기에 접대가 이루어졌으나 당기 지급시점에 비용처리한 금액 : 4,000,000원
  ②  문화접대비 : 10,000,000원
(3)  직원이 조직한 단체(법인)에 복리시설비를 지출하고 영업외비용으로 처리한 금액 : 6,000,000원 
(4) 수입금액에 관한 적용률
수입금액적용률100억원 이하1천분의 2100억원 초과 
500억원 이하2천만원+100억원을 초과하는 금액의 1만분의 10
"
