"<자료  2>
1.  다음은 ㈜대한의 20x2년과 20x1년 재무제표 일부이다. 
계정20x2년 말20x1년 말유형자산(취득원가)270,000245,000감가상각누계액(178,000)(167,000)미지급금30,00011,500사채270,000200,000사채할인발행차금(35,000)(35,000)자본금115,000100,000자본잉여금52,00040,000자기주식(8,500)(10,000)이익잉여금75,00090,000(단위: ￦)계정20x2년도20x1년도감가상각비(유형자산)32,00031,500유형자산처분이익13,0004,500사채할인발행차금상각4,0004,100사채상환이익1,000800당기순이익38,00016,000
2.  20x2년 취득한 유형자산 구입금액 중 ￦15,000은 미지급금에  포함되어 있으며, ㈜대한은 해당 유형자산을 취득하면서 복구충당부채 ￦3,000에 대한 회계처리를 누락하였다. 
3.  유형자산의 처분과 사채의 발행 및 상환은 현금거래로 이루어졌으며, 현금 지급된 사채이자는 없는 것으로 가정한다. 
4.  20x1년에 액면발행한 상환주식(㈜대한이 상환권 보유) ￦30,000을 20x2년 중 이사회 결의를 통해 발행 금액으로 상환을 완료하였다. 상환과 관련하여 주주총회를 개최하지 않았으며, 상법규정에 따라 회계처리하였다. 
5.  20x2년 중 장부금액 ￦5,000의 자기주식을 처분하였다. 
6.  20x2년 3월 개최된 정기주주총회에서 주식배당 ￦15,000과 현금배당이 의결되었으며, 현금배당에 따른 이익준비금은 적립되지 않았다. 
"
