"<자료>
<20x1년>
1. 20x1년 말 확정급여채무 장부금액은 ￦80,000이다.
2. 20x1년 말에 사외적립자산에 ￦79,000을 현금으로 출연하였다.
<20x2년>
1. 20x2년 6월 30일에 퇴직종업원에게 ￦1,000의 현금이 사외적립자산에서 지급되었다.
2. 20x2년 11월 1일에 사외적립자산에 ￦81,000을 현금으로 출연하였다.
3. 당기근무원가는 ￦75,000이다. 
4. 20x2년 말 현재 사외적립자산의 공정가치는 ￦171,700이며, 보험수리적 가정의 변동을 반영한 확정급여채무는 ￦165,000이다. 
5. 자산인식상한은 ￦5,000이다.
<20x3년>
1. 20x3년 말에 퇴직종업원에게 ￦2,000의 현금이 사외적립자산에서 지급되었다.
2. 20x3년 말에 사외적립자산에 ￦80,000을 현금으로 출연하였다.
3. 당기근무원가는 ￦110,000이다.
4. 20x3년 말에 제도 정산이 이루어졌으며, 정산일에 결정되는 확정급여채무의 현재가치는 ￦80,000, 정산가격은 ￦85,000(이전되는 사외적립자산 ￦60,000, 정산 관련 기업 직접 지급액 ￦25,000)이다.
5. 20x3년 말 제도 정산 직후 사외적립자산의 공정가치는 ￦220,000이며, 보험수리적 가정의 변동을 반영한 확정급여채무는 ￦215,000이다. 
6. 자산인식상한은 ￦3,500이다."
