"< 자 료 >
 1. 전기말 재무상태표상 채권잔액은 9,500,000,000원이며, 전기 「자본금과적립금조정명세서(을)」의 기말잔액은 다음과 같다.
과  목기말잔액대손충당금 한도초과액30,000,000원외상매출금 대손부인액*65,000,000원소멸시효 완성채권△20,000,000원
  * 대손부인된 외상매출금 중 40,000,000원은 제22기에 소멸시효가 완성됨
 2. 제22기 대손충당금계정의 변동내역은 다음과 같다. 
대손충당금
당기상계120,000,000원전기이월150,000,000원차기이월230,000,000원당기설정200,000,000원합  계350,000,000원합  계350,000,000원
 3. 대손충당금의 당기상계 내역은 다음과 같다.
 ① 당기에 소멸시효가 완성된 대여금: 45,000,000원
 ② 2022년 3월 1일에 매출한 거래처가 2022년 5월 1일에 부도가 발생하여 받을 수 없게 된 외상매출금: 25,000,000원
 ③ 법원의 면책결정에 따라 회수불능으로 확정된 채권: 10,000,000원
 ④ 물품의 수출로 발생한 채권으로 법정 대손사유에 해당하여 한국무역보험공사로부터 회수불능으로 확인된 채권: 30,000,000원
 ⑤ 특수관계법인의 파산으로 회수불가능한 업무무관 대여금: 10,000,000원"
