"<자료 1>
 갑의 금융소득 내역은 다음과 같다. 
 1. 물가연동국고채의 원금 증가분(발행일 2016년 1월 2일): 5,000,000원
 
 2. 상호저축은행법에 의한 신용부금으로 인한 이익: 3,000,000원 
 3. 법인세법에 따라 법인으로 보는 단체로부터 받은 현금배당: 7,000,000원  
 
 4. 파생결합사채로부터 발생한 수익의 분배금(상법상 파생결합사채의 요건을 충족함): 4,000,000원
 5. 자기주식소각이익을 자본전입함에 따라 ㈜A로부터 수령한 무상주의 액면가액(2016년 12월 10일 소각하였으며 소각당시 자기주식의 시가가 취득가액을 초과함): 20,000,000원
 6. 집합투자기구(사모투자전문회사 아님)로부터의 이익: 2,000,000원
 7. 비상장법인인 ㈜B로부터 받은 현금배당(㈜B는 중소기업법에 의한 중소기업에 해당함): 8,000,000원
 8. 법인세법상 소득공제를 적용받은 유동화전문회사로부터 받은 현금배당: 1,000,000원
"
