"(1) 장부상 매출액은 35,000,000,000원으로 이 중 특수관계인 매출분은 12,000,000,000원이다. 매출액과 관련된 내용은 다음과 같다.
  가. 일반매출에 대한 매출할인 100,000,000원 및 매출에누리 
      40,000,000원을 영업외비용으로 회계처리 하였다.
  나. 전기에 수탁자가 판매한 위탁매출액 500,000,000원(일반매출분)에 대하여 전기에 회계처리하지 않고 당기에 판매대금을 회수하면서 전액 손익계산서상 매출로 회계처리 하였다.
  다. 일반매출과 관련하여 영업외수익에 계상된 부산물 매각대금은 140,000,000원이다.
(2) 손익계산서상 접대비계정으로 비용처리한 금액은 75,000,000원으로 다음의 금액이 포함되어 있다.
  가. 업무와 관련하여 사용되었으나 증빙누락분: 2,000,000원
  나. 업무와 관련하여 사용된 개인명의신용카드사용액: 4,000,000원
(3) 당해연도에 접대가 이루어졌으나 결제하지 못하고 장부에 계상하지 않은 금액 5,000,000원이 있다.
(4) 수입금액에 관한 적용률은 다음과 같다.
수입금액적용률100억원 초과 
500억원 이하2천만원+100억원을 초과하는 금액의 1만분의 10
"
