"㈜대한은 20x1년 1월 1일 ㈜민국의 의결권 있는 보통주 60%를 ￦750,000에 취득하여 지배력을 획득하였다. 지배력 획득일 현재 ㈜대한과 ㈜민국의 자본은 다음과 같으며, 순자산 장부금액과 공정가치가 일치하지 않는 항목은 없다.
구 분㈜대한㈜민국자본금 ￦1,000,000 ￦500,000자본잉여금300,000250,000이익잉여금1,200,000400,000자본총계￦2,500,000￦1,150,000
·  20x1년 중 ㈜민국은 ㈜대한에 원가 ￦10,000의 재고자산을 ￦20,000에 판매하였고, ㈜대한은 이를 20x1년과 20x2년 중 외부에 각각 80% 및 20% 비중으로 판매하였다. 한편 20x1년 말 ㈜대한이 ㈜민국으로부터 취득하여 보유 중인 재고자산의 순실현가능가치가 ￦3,000으로 추정되어, ㈜대한은 ￦1,000의 재고자산평가손실을 인식하였다.
·  20x2년 1월 1일 ㈜대한은 원가 ￦15,000의 재고자산을 ㈜민국에 ￦30,000에 판매하였으며, ㈜민국은 이를 구입하여 비품(잔존내용연수 5년, 잔존가치 ￦0, 정액법으로 감가상각)으로 사용 중이다. 
·  ㈜민국은 20x2년 4월 1일에 장부금액 ￦40,000(취득원가 ￦70,000, 감가상각누계액 ￦30,000, 잔존내용연수 4년, 잔존가치 ￦0, 정액법으로 감가상각)인 차량운반구를 ㈜대한에 ￦64,000으로 매각하였다. 20x2년 말 현재 ㈜대한은 동 차량운반구를 보유 중이다.
·  ㈜대한이 20x1년도와 20x2년도 별도(개별)재무제표에 보고한 당기순이익은 각각 ￦150,000과 ￦250,000이다.
·  ㈜민국의 20x1년도와 20x2년도 자본 변동 내역은 다음과 같다.
구 분금 액추가 설명20x1. 1. 1. 자본총계￦1,150,00020x1년도 당기순이익90,00020x1년도 기타포괄이익60,000확정급여제도 재측정요소20x2년도 당기순이익200,000현금 배당금 (100,000)20x2년 배당 결의 후 지급20x2. 12. 31. 자본총계￦1,400,000
 
·  ㈜대한은 ㈜민국에 대한 투자주식을 원가법으로 회계처리하며, 연결재무제표 작성 시 비지배지분은 종속기업의 식별가능한 순자산 공정가치에 비례하여 결정한다. "
