"<자료 1>
2006년 귀속 금융소득의 내역은 다음과 같다.
① 비영업대금의 이익 : 10,000,000원(2006년 중에 지급받기로 약정하였으나 2006년 말까지 회수하지 못한 금액 2,000,000원은 제외된 금액임)
② 직장공제회 초과반환금 : 9,000,000원(1997년 3월에 가입하여 2006년 6월 말일자로 탈퇴함)
③ 국외은행으로부터 받은 예금이자 : 3,000,000원(국내에서 원천징수 되지 아니함)
④ 선박투자회사로부터의 현금배당액 : 15,000,000원(보유주식의 액면가액은 5억원임)
⑤ 인적회사로부터의 현금배당액 : 20,000,000원(지급배당에 대한 소득공제를 받은 인적회사임)
⑥ 비상장법인으로부터 교부받은 무상주의 액면가액 : 10,000,000원(자기주식소각이익을 소각일로부터 2년이내에 자본전입 함에 따라 교부받은 무상주임)
⑦ 주권상장법인으로부터의 현금배당액 : 30,000,000원(주식보유기간은 2년이며 주식의 액면가액 합계액은 5억원임)"
