"(1) 2009년의 금융소득 관련 자료는 다음과 같다.
 가.  비상장 내국법인으로부터 받은 현금배당 : 5,000,000원
 나.  상장 내국법인으로부터 받은 현금배당 : 1,000,000원
 다.  2000년에 가입한 직장공제회의 초과반환금 : 6,000,000원
 라.  상환기간 20년인 장기채권의 이자와 할인액 : 3,000,000원(분리과세를  
                                                     신청하지 않음)
 마.  국내에서 받은 투자신탁의 이익 : 20,000,000원
 바.  은행 정기예금이자 : 12,000,000원
 사.  외국법인으로부터 받은 현금배당 : 7,000,000원(국내에서 원천징수
                                                        되지 않음)
 아.  보험기간 12년인 저축성보험의 보험차익 : 2,000,000원 
(2)  2009년의 사업소득금액은 30,000,000원이고, 종합소득공제 금액은 9,000,000원이다."
