"< 자 료 >
 1.  사회적기업인 A법인의 제19기 차가감소득금액은 1억원이다. 제19기에 지출한 기부금 내역은 다음과 같으며, 제18기 법정기부금 한도초과액 10,000,000원이 있다(세무상 공제가능한 이월결손금 없음). 
 ①  이재민구호금품(법정기부금): 20,000,000원
 ②  어음지급 지정기부금(어음만기일: 2020년 2월 10일): 5,000,000원 
 ③  사회복지법인 지정기부금(현금): 30,000,000원
 2. 제조업을 영위하는 B법인은 2018년 6월 1일에 국고보조금 20,000,000원을 수령하고, 2018년 7월 1일에 기계장치를 50,000,000원에 취득하여 사업에 사용하기 시작하였다. 회사는 국고보조금을 기계장치에서 차감하는 형식으로 표시하고 있으며, 국고보조금을 감가상각비와 상계처리하고 있다. 
 ①  회사는 기계장치에 대하여 정액법(법인세법상 신고한 상각방법)을 적용하여 5년(신고내용연수) 동안 상각하고 있다(잔존가액 없음).
 ②  제18기에 세법 규정에 따라 일시상각충당금을 설정하였으며, 제18기와 제19기에 기계장치에 대한 상각부인액 또는 시인부족액은 없다.
 3. 건설업을 영위하는 C법인은 2019년 7월 1일 법정기부금 해당 단체에 건물(취득가액: 200,000,000원, 감가상각누계액: 140,000,000원, 시가: 100,000,000원)을 기부하고 이후 20년간 사용수익하기로 하였다. 
 ①  사용수익에 대한 회계처리는 다음과 같다. 
  (차) 사용수익기부자산 100,000,000
       감가상각누계액   140,000,000  
                 (대)  건물              200,000,000
                       유형자산처분이익  40,000,000
 ②  제19기 사용수익기부자산에 대한 결산서상 감가상각비 계상액은 2,500,000원이다.     "
