"<자료 2>
 (2017년 1월 1일∼ 2017년 6월 30일의 소득자료)
 갑은 ㈜C(제조업)의 생산직근로자로 근무하였다.
 
 1. ㈜C로부터의 기본급여 수령액(월 900,000원): 5,400,000원
 2. ㈜C로부터의 상여금 수령액(1회 수령하였음): 2,000,000원
 3. ㈜C로부터의 식사대 수령액(월 200,000원): 1,200,000원
 4.  산불재해로 인하여 ㈜C가 지급한 급여(월 400,000원): 2,400,000원 
 5. 본인부담분 건강보험료를 ㈜C가 대신하여 부담한 금액(월 100,000원): 600,000원
 6. ㈜C로부터 수령한 연장근로수당(월 500,000원): 3,000,000원
 7. 전세권을 대여하고 받은 대가: 8,000,000원
 8. 일시적으로 라디오에 출연하여 출연료로 받은 수당: 7,000,000원 
 9. ㈜C를 퇴사한 후 운영할 예정인 치킨집 개업과 관련하여 ㈜C에게서 지원받은 개업축하금:
    5,000,000원
 10. ㈜C의 사내장기자랑 행사에서 1등을 하여 수령한 상금: 2,000,000원
 11. ㈜C로부터 수령한 발명진흥법에 따른 직무발명보상금: 4,000,000원
 12. ㈜C로부터 수령한 휴일근로수당: 1,000,000원
"
