"<자료 2>
K씨는 S은행(주권상장법인) 국외지점에서 지점장(임원이 아님)으로 재직하던 중 2006년 6월 30일자로 퇴직하였다. K씨의 S은행 입사일자는 1997년 3월 1일이다. S은행의 제35기 사업연도는 2005년 1월 1일부터 12월 31일까지이며, 제35기 정기주주총회는 2006년 3월 10일에 개최되었다.
1. 2006년 1월 1일부터 6월 30일까지 지급받은 급여 등의 내역은 다음과 같다.
① 급여 및 일반상여금             42,000,000원
   (6월분 급여 3,000,000원은 7월 10일에 지급받음)
② 잉여금처분에 의한 상여금        8,000,000원
   (제35기 주주총회에서 잉여금처분을 결의한 것임)
③ 자녀학자보조금                  5,000,000원
   (장남의 대학교 1학기 등록금 납부액 관련 보조금)
④ 사택을 제공받음으로써 얻은 이익  6,000,000원
⑤ 인정상여                        4,000,000원
   (가지급금 인정이자와 관련하여 S은행의 제35기 법인세 세무조정 시 상여로 소득처분된 것임)
⑥ 본인 부담분 건강보험료와 고용보험료의 회사 대납액                          1,000,000원
   (본인 부담분을 회사가 대신 부담한 금액임)
2. 2006년 6월 30일자로 퇴직함에 따라 지급받은 퇴직금 등의 내역은 다음과 같다. 
① 퇴직으로 인하여 받은 일시금    68,000,000원
   (퇴직급여지급규정에 의한 것으로서 퇴직금전환금 5,000,000원이 포함된 금액임)"
