"<자료  1>
1.  20x1년 1월 1일에 ㈜대한은 보유하던 건물을 ㈜민국에게 ￦8,000,000에 매각하고, 동시에 동 건물을 리스하여 사용하는 계약을 체결하였다. 매각 직전 동 건물의 장부금액은 ￦6,000,000이며, 판매일에 동 건물의 공정가치는 ￦8,000,000이다.
2.  동 건물의 이전은 기업회계기준서 제1115호의 수익인식기준을 충족하는 판매이다.
3.  20x1년 1월 1일 동 건물의 잔존내용연수는 5년이고 잔존가치는 없다. ㈜대한은 감가상각 방법으로 정액법을 사용한다.
4.  리스개시일은 20x1년 1월 1일이며, 고정리스료는 리스기간 동안 매년 말 ￦1,000,000을 지급한다. 
5.  리스기간은 리스개시일로부터 3년이며, 리스기간 종료시점의 해당 기초자산 잔존가치는 ￦0으로 추정된다. 리스 종료일에 소유권 이전, 염가매수선택권, 리스기간 변경선택권은 없다.
 
6.  리스계약과 관련하여 지출한 리스개설직접원가는 없다.
7.  리스의 내재이자율은 연 10%이다. "
