"(1) 손익계산서상 당기순이익은 60,000,000원이다.
(2) 손익계산서상 주요 수익항목은 다음과 같다.
 가. 사업과 관련이 없는 자산수증이익: 4,000,000원
 나. 예금이자 수익: 3,000,000원
 다. 사업과 관련하여 해당 사업용자산의 손실로 인한 보험차익: 1,000,000원
 라. 사업에 사용하는 토지의 처분이익: 9,000,000원
 마. 상장법인 배당금: 3,500,000원
(3) 손익계산서상 주요 비용항목은 다음과 같다.
 가. 소득세비용: 6,000,000원
 나. 상장주식 처분손실: 3,400,000원
 다. 갑의 장남(경리부에 근무)에 대한 급여: 10,000,000원
 라. 대손상각비: 1,000,000원 (외상매출금 100,000,000원에 대하여 1%에 해당하는 금액을 설정한 것이며 대손실적률은 0.8%이다.)
(4) 재고자산(취득원가 3,000,000원, 시가 5,000,000원)을 가사용으로 소비하고 이에 대하여 아무런 회계처리를 하지 아니하였다."
