"< 자 료 2 >
<연금소득 내역>
 1.  2019년 1월 1일 현재 연금계좌(2014년 1월 1일 가입) 평가액의 구성내역은 다음과 같다.
구 분금 액이연퇴직소득10,000,000원이연퇴직소득 외 평가액290,000,000원합 계300,000,000원
 2.  이연퇴직소득 외 평가액에는 연금계좌 불입 시 연금세액공제를 받지 못한 금액 20,000,000원이 포함되어 있다.
 3.  이연퇴직소득에 대하여 과세이연된 퇴직소득세는 500,000원이다.
 4.  을은 연금을 2019년 1월 1일부터 신청하여 수령하기 시작하였고 2019년 수령액은 65,000,000원이다(의료목적, 천재지변이나 그 밖의 부득이한 사유로 인출한 금액은 없음).
<사업소득 내역>
  1.  손익계산서상 당기순이익: 15,000,000원 
  
 2.  손익계산서상 대표자 을의 급여: 2,000,000원  
  
 3.  차입금(2018년에 차입)에 대한 손익계산서상 이자비용의 세부내역은 다음과 같다.
 ①  채권자불분명사채이자: 2,000,000원(연이자율 14%)
 ②  저축은행차입금이자: 7,300,000원(연이자율 10%)
  
"
