(단위 : 원),[셀 읽기 실패],[셀 읽기 실패],[셀 읽기 실패]
차변 항목,㈜갑,㈜을,[셀 읽기 실패]
[셀 읽기 실패],장부금액,장부금액,공정가치
현    금,"200,000","55,000","55,000"
"매도가능금융자산","35,000","45,000","45,000"
건물(순액),"400,000","200,000","250,000"
토    지,"250,000","100,000","150,000"
매출원가,"300,000","200,000",
기타비용,"80,000","130,000",
계,"1,265,000","730,000",
대변 항목,㈜갑,㈜을,[셀 읽기 실패]
[셀 읽기 실패],장부금액,장부금액,공정가치
자 본 금,"250,000","200,000",-
자본잉여금,"310,000","80,000",-
이익잉여금,"200,000","50,000",-
"기타포괄손익누계액","5,000",-,-
매    출,"500,000","400,000",
계,"1,265,000","730,000",
