post_url,year,phase,atchFileId,bbsId,file_sn,url,exists,is_pdf
https://cpa.fss.or.kr/cpa/bbs/B0000368/view.do?nttId=128470&menuNo=1200078&pageIndex=1,unknown,unknown,424d7276c2c34766b95f804d8614b3ae,B0000368,1,https://cpa.fss.or.kr/cpa/cmmn/file/fileDown.do?menuNo=&atchFileId=424d7276c2c34766b95f804d8614b3ae&fileSn=1&bbsId=B0000368,True,False
https://cpa.fss.or.kr/cpa/bbs/B0000368/view.do?nttId=128470&menuNo=1200078&pageIndex=1,unknown,unknown,424d7276c2c34766b95f804d8614b3ae,B0000368,2,https://cpa.fss.or.kr/cpa/cmmn/file/fileDown.do?menuNo=&atchFileId=424d7276c2c34766b95f804d8614b3ae&fileSn=2&bbsId=B0000368,True,False
https://cpa.fss.or.kr/cpa/bbs/B0000368/view.do?nttId=128470&menuNo=1200078&pageIndex=1,unknown,unknown,424d7276c2c34766b95f804d8614b3ae,B0000368,3,https://cpa.fss.or.kr/cpa/cmmn/file/fileDown.do?menuNo=&atchFileId=424d7276c2c34766b95f804d8614b3ae&fileSn=3&bbsId=B0000368,True,False
https://cpa.fss.or.kr/cpa/bbs/B0000368/view.do?nttId=128470&menuNo=1200078&pageIndex=1,unknown,unknown,424d7276c2c34766b95f804d8614b3ae,B0000368,4,https://cpa.fss.or.kr/cpa/cmmn/file/fileDown.do?menuNo=&atchFileId=424d7276c2c34766b95f804d8614b3ae&fileSn=4&bbsId=B0000368,True,False
https://cpa.fss.or.kr/cpa/bbs/B0000368/view.do?nttId=128470&menuNo=1200078&pageIndex=1,unknown,unknown,424d7276c2c34766b95f804d8614b3ae,B0000368,5,https://cpa.fss.or.kr/cpa/cmmn/file/fileDown.do?menuNo=&atchFileId=424d7276c2c34766b95f804d8614b3ae&fileSn=5&bbsId=B0000368,True,False
https://cpa.fss.or.kr/cpa/bbs/B0000368/view.do?nttId=128470&menuNo=1200078&pageIndex=1,unknown,unknown,424d7276c2c34766b95f804d8614b3ae,B0000368,6,https://cpa.fss.or.kr/cpa/cmmn/file/fileDown.do?menuNo=&atchFileId=424d7276c2c34766b95f804d8614b3ae&fileSn=6&bbsId=B0000368,True,False
https://cpa.fss.or.kr/cpa/bbs/B0000368/view.do?nttId=128470&menuNo=1200078&pageIndex=1,unknown,unknown,424d7276c2c34766b95f804d8614b3ae,B0000368,7,https://cpa.fss.or.kr/cpa/cmmn/file/fileDown.do?menuNo=&atchFileId=424d7276c2c34766b95f804d8614b3ae&fileSn=7&bbsId=B0000368,True,False
https://cpa.fss.or.kr/cpa/bbs/B0000368/view.do?nttId=128470&menuNo=1200078&pageIndex=1,unknown,unknown,424d7276c2c34766b95f804d8614b3ae,B0000368,8,https://cpa.fss.or.kr/cpa/cmmn/file/fileDown.do?menuNo=&atchFileId=424d7276c2c34766b95f804d8614b3ae&fileSn=8&bbsId=B0000368,True,False
https://cpa.fss.or.kr/cpa/bbs/B0000368/view.do?nttId=128470&menuNo=1200078&pageIndex=1,unknown,unknown,424d7276c2c34766b95f804d8614b3ae,B0000368,9,https://cpa.fss.or.kr/cpa/cmmn/file/fileDown.do?menuNo=&atchFileId=424d7276c2c34766b95f804d8614b3ae&fileSn=9&bbsId=B0000368,True,False
https://cpa.fss.or.kr/cpa/bbs/B0000368/view.do?nttId=128470&menuNo=1200078&pageIndex=1,unknown,unknown,424d7276c2c34766b95f804d8614b3ae,B0000368,10,https://cpa.fss.or.kr/cpa/cmmn/file/fileDown.do?menuNo=&atchFileId=424d7276c2c34766b95f804d8614b3ae&fileSn=10&bbsId=B0000368,True,False
